16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
0,7,16,16,2,11,2,5,14,7,16,16,13,7,7,2,10,0,16,13,16,5,2,7,0,7,16,7,2,13,0,5,13,16,7,2,16,12,1,10,14,8,16,16,16,15,16,2,0,14,16,5,6,12,16,4,10,12,8,16,12,14,0,11
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,12,0,0,0,0,0,0,6,2,0,0,0,0,0,0,8,3,6,6,2,0,0,0,15,1,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,16,0,0,0
16,16,16,16,16,16,15,16,9,11,14,16,12,10,13,16,12,14,16,16,12,15,16,16,16,3,16,16,16,16,16,7,14,10,16,16,12,16,16,14,8,16,16,16,16,16,16,0,6,16,16,16,16,16,16,3,11,9,16,16,16,16,16,16
0,9,0,4,8,0,13,0,0,0,9,16,2,0,4,0,0,1,4,8,0,0,0,0,4,0,0,16,4,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,13,0,0,0,0,0,5,4,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0
0,0,5,0,0,0,0,0,0,3,6,12,16,12,7,0,0,0,6,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,7,11,1,1,0,0,0,0,0,0,0,0,0,0,3,0,5,10,11,0,0,0,0,0,0,12,6,0,6,0
0,0,1,16,12,2,0,0,0,0,8,12,0,3,16,0,0,0,8,7,1,2,8,0,1,2,6,0,5,0,8,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0,8,0,0,16,1,0,0,0,0,8,16,3,7,0,0
0,16,6,16,10,6,0,14,0,8,1,6,3,0,11,0,2,11,16,16,9,8,0,0,0,14,16,4,8,1,0,4,4,3,12,13,16,9,7,0,14,2,16,7,11,1,9,0,5,6,0,7,16,16,6,0,0,9,8,16,15,16,5,7
1,0,0,8,0,0,0,0,0,0,5,5,0,5,0,0,0,0,16,0,0,6,0,0,0,0,16,4,0,0,0,0,2,0,6,8,10,16,0,0,0,0,0,6,7,4,7,0,0,0,4,12,0,5,0,0,0,0,0,8,15,3,0,0
16,2,16,16,16,3,16,16,12,14,16,8,14,16,16,13,14,16,16,15,0,15,12,6,10,16,16,16,0,12,16,16,16,16,16,16,9,16,16,0,8,14,12,16,11,2,12,14,10,16,16,15,16,16,13,9,3,0,12,16,16,16,13,16
3,4,13,16,10,4,6,0,16,12,16,8,16,12,10,0,3,14,16,10,7,10,12,8,13,2,16,16,6,16,2,6,7,14,14,13,3,4,11,1,10,3,7,0,0,3,16,12,7,11,13,0,0,13,16,16,12,13,14,16,15,15,0,5
11,0,6,8,16,4,5,1,5,15,16,11,0,1,3,8,15,6,16,16,0,9,0,5,10,1,16,14,11,0,8,3,0,0,16,3,2,8,0,0,0,7,0,1,16,8,0,0,0,0,16,15,1,2,0,0,2,0,5,6,13,0,7,0
0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,16,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,5,13,10,0,0,0,0,7,13,1,0,0,0,2,0,0,0,0,0,0,0
6,0,10,13,16,16,2,6,0,13,13,16,12,16,4,12,14,9,15,11,6,2,16,0,16,1,16,9,16,16,15,0,2,9,16,14,14,16,16,8,0,10,16,5,7,11,14,7,5,9,16,16,8,16,7,8,0,0,14,13,16,16,3,14
16,16,16,16,9,16,16,16,16,14,16,16,16,16,16,10,16,16,16,16,16,16,16,11,16,16,16,16,16,16,16,16,15,16,16,12,16,16,16,9,16,11,16,16,16,16,16,10,16,11,16,16,16,14,16,16,12,16,16,16,16,16,16,16
11,5,3,6,16,16,6,13,0,4,16,16,16,15,0,5,7,3,16,16,12,7,4,8,0,7,9,16,7,0,6,1,9,16,0,15,16,6,2,6,4,15,16,16,16,9,6,5,8,0,7,16,14,0,0,8,0,9,16,16,5,0,11,12
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7,12,16,16,16,16,12,3,1,0,16,12,10,8,16,7,5,8,6,8,11,14,0,12,0,16,14,16,16,16,0,14,14,16,16,12,12,16,10,10,13,5,16,1,11,16,10,7,10,16,16,4,15,16,8,2,2,9,16,16,16,1,4,16
4,7,11,16,14,16,4,14,0,12,14,16,16,0,5,0,10,0,16,15,16,16,5,0,0,16,16,16,16,9,1,14,13,8,11,10,11,1,10,0,0,5,5,0,12,16,16,9,0,6,12,5,16,0,0,8,0,16,16,15,16,0,3,10
16,0,16,16,16,14,14,16,15,16,16,16,16,16,16,16,16,16,16,16,11,15,16,16,16,16,16,16,16,16,16,12,16,16,16,16,12,16,16,16,15,16,16,14,11,16,16,16,14,16,14,16,16,16,16,16,16,16,16,16,16,7,12,16
0,0,1,16,7,13,0,1,4,6,9,10,16,0,0,0,0,0,16,8,0,0,0,0,0,2,16,16,0,0,0,0,0,0,5,0,16,0,0,2,6,0,0,0,9,5,0,4,2,0,9,5,16,0,7,0,0,0,5,10,15,8,0,0
11,7,0,16,0,4,8,10,4,7,13,16,12,0,14,1,0,0,16,8,7,16,8,8,10,15,16,16,16,13,3,9,8,12,16,15,9,15,16,0,2,15,16,6,1,16,16,7,6,9,16,11,16,16,16,12,5,4,6,16,16,16,3,7
16,16,6,16,16,16,16,16,12,15,16,16,16,16,7,11,6,16,16,16,11,11,11,13,16,16,16,16,16,16,16,14,16,13,13,16,16,16,15,5,4,16,9,6,16,16,15,16,7,16,16,13,16,16,5,15,0,16,16,16,16,16,16,12
0,0,0,10,15,7,8,0,8,0,1,0,14,0,1,0,8,0,3,14,15,2,0,0,0,9,7,13,0,0,0,8,5,1,7,14,0,8,0,11,6,4,16,16,16,14,7,0,2,0,16,16,3,11,5,0,6,0,0,0,7,1,7,0
0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,5,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
16,0,6,3,16,0,14,13,11,16,16,16,5,9,0,13,15,2,16,14,0,7,0,15,5,10,16,0,0,0,16,3,2,16,11,16,16,15,4,5,3,8,16,16,16,16,15,16,9,1,16,13,16,16,6,3,11,5,7,10,16,6,7,15
15,0,11,16,16,9,6,0,0,3,8,6,7,0,9,6,0,0,10,3,0,5,0,6,11,11,16,14,16,15,6,0,0,0,13,11,4,6,0,0,7,0,0,0,0,14,4,2,0,0,0,1,9,12,0,0,0,0,15,12,4,0,0,2
0,0,9,15,16,4,2,0,4,0,16,0,0,4,14,14,0,15,7,16,6,11,1,0,7,13,10,16,3,0,0,0,0,6,8,10,8,1,0,2,0,0,0,8,16,4,0,0,4,0,2,7,16,0,0,0,0,0,0,2,16,0,0,3
2,5,15,16,16,5,0,14,7,11,7,12,7,16,2,7,8,13,16,11,0,9,0,4,0,16,16,1,2,11,4,1,0,16,7,12,16,16,12,9,13,10,16,16,7,1,16,16,7,5,16,15,10,16,15,8,3,5,9,16,16,12,9,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
